86,2021_01_04 21_12_59,2021_01_04 21_13_19,SCK09,인도,평지,운행,차량,X,X
87,2021_01_04 21_13_42,2021_01_04 21_14_09,SCK09,인도,평지,운행,차량,X,X
88,2021_01_04 21_14_16,2021_01_04 21_14_44,SCK09,인도,평지,운행,차량,X,X
89,2021_01_04 21_14_50,2021_01_04 21_15_11,SCK09,인도,평지,운행,차량,X,X
90,2021_01_04 21_15_26,2021_01_04 21_15_56,SCK09,인도,평지,운행,차량,X,X
91,2021_01_04 21_16_03,2021_01_04 21_16_33,SCK09,인도,평지,운행,차량,X,X
106,2021_01_04 21_23_47 ,2021_01_04 21_24_21 ,SCK09,인도,오르막,운행,차량,X,X
107,2021_01_04 21_24_38 ,2021_01_04 21_25_09 ,SCK09,인도,내리막,운행,차량,X,X
108,2021_01_04 21_25_32 ,2021_01_04 21_26_06 ,SCK09,인도,오르막,운행,차량,X,X
109,2021_01_04 21_26_27 ,2021_01_04 21_26_58 ,SCK09,인도,내리막,운행,차량,X,X
110,2021_01_04 21_27_23 ,2021_01_04 21_27_53 ,SCK09,인도,오르막,운행,차량,X,X
111,2021_01_04 21_28_07 ,2021_01_04 21_28_43 ,SCK09,인도,내리막,운행,차량,X,X
112,2021_01_04 21_29_00 ,2021_01_04 21_29_26 ,SCK09,인도,오르막,운행,차량,X,X
113,2021_01_04 21_29_38 ,2021_01_04 21_30_01 ,SCK09,인도,내리막,운행,차량,X,X
114,2021_01_04 21_30_18 ,2021_01_04 21_30_35 ,SCK09,인도,오르막,운행,차량,X,X
115,2021_01_04 21_30_51 ,2021_01_04 21_31_13 ,SCK09,인도,내리막,운행,차량,X,X
134,2021_01_04 21_47_54 ,2021_01_04 21_48_03 ,SCK08,도로,오르막,운행,차량,X,X
135,2021_01_04 21_48_10 ,2021_01_04 21_48_15 ,SCK08,도로,내리막,운행,차량,X,X
136,2021_01_04 21_49_02 ,2021_01_04 21_49_11 ,SCK08,도로,오르막,운행,차량,X,X
137,2021_01_04 21_49_20 ,2021_01_04 21_49_27 ,SCK08,도로,내리막,운행,차량,X,X
138,2021_01_04 21_48_26 ,2021_01_04 21_48_37 ,SCK08,도로,오르막,운행,차량,X,X
139,2021_01_04 21_48_47 ,2021_01_04 21_48_50 ,SCK08,도로,내리막,운행,차량,X,X
140,2021_01_04 21_42_53 ,2021_01_04 21_42_57 ,SCK08,도로,평지,운행,차량,X,X
141,2021_01_04 21_42_38 ,2021_01_04 21_42_44 ,SCK08,도로,평지,운행,차량,X,X
142,2021_01_04 21_41_59 ,2021_01_04 21_42_05 ,SCK08,도로,평지,운행,차량,X,X
143,2021_01_04 21_41_21 ,2021_01_04 21_41_25 ,SCK08,도로,평지,운행,차량,X,X
144,2021_01_04 21_41_04 ,2021_01_04 21_41_08 ,SCK08,도로,평지,운행,차량,X,X
